qid,intent,product,question,answer
1,greet,null,你好,
2,greet,null,您好,
3,greet,null,666,
4,greet,null,：）,
5,greet,null,哈哈,
6,greet,null,你今年多大？,
7,greet,null,你好有趣,
8,greet,null,88,
9,greet,null,888,
10,greet,null, 哈哈哈,
11,greet,null, ,
12,general,general,我怎么报修,您可以通过“商米服务”微信小程序进行报修
13,general,general,我报修了怎么没消息的,建议您通过“商米服务”微信小程序-工单查询，查询处理进度
14,general,general,旁边就是你们的维修站我能直接送过去吗,建议您通过“商米服务”微信小程序进行报修，系统会为您匹配最适合维修您设备的维修中心
15,general,general,我在深圳干嘛要我寄到上海修,我们根据您设备的型号、报修故障、安排最快最有效的维修中心维修。
16,general,general,我的机器寄过去了怎么还没修好都没有人联系我,建议您通过“商米服务”微信小程序-工单查询，查询处理进度
17,general,general,你们修好的机器发什么快递寄回,我们会使用顺丰或德邦物流配送。
18,general,general,寄过去的运费谁来承担,寄修维修中心的运费由报修方承担，维修寄回由维修中心承担
19,general,general,碎屏压纸轴损坏壳料损坏等,请您通过微信搜索“商米服务小程序”报修
20,general,general,屏幕触摸失灵触摸无反应,请您打开设备中的硬件管家，选择触摸屏--坏点测试/触摸测试，如果测试无问题，请您拍摄视频；如显示有故障，请您通过商米服务微信小程序报修。
21,general,general,提醒提示打印头过热,请先关机冷却。请您打开设备中的硬件管家――打印机――测试打印，如果可以正常打印，说明打印机无问题；如果不能正常打印，请再通过硬件管家――本机/系统信息――SN（检查有新版本），请您联系人工客服更新版本，或者通过商米服务微信小程序报修。
22,general,general,打印机打印小票部分模糊,"请您确认压纸轴是否损坏（磨损、不带齿轮的一侧裸露出金属），如果损坏建议到商米天猫旗舰店购买如果压纸轴正常。
如果没有损坏，打印纸也已经更换，建议您通过硬件管家――打印机――测试打印，拍照与人工客服进行联系。"
23,general,general,打印机卡纸切刀卡住纸仓打不开或卡住,请您将纸仓盖上方的切刀盖从下方扣开，白色齿轮向上互动，如果还是卡纸，请您通过微信搜索“商米服务小程序”报修
24,general,general,连接一体机打印机,您选择设置――蓝牙打开，软件里找到选择添加蓝牙打印机相关含义的选项，选择连接innerprinter的打印机。仅限应用市场里下载的软件连接自身的打印机
25,general,general,卡在开机画面,"如是手持设备，请长按开机键13秒进行强制重启，如果还是卡在开机画面，请您通过微信搜索“商米服务小程序”报修。
如是台式设备――请您断电，长按开机键2秒，再接通电源开机，如还是无效，请您通过微信搜索“商米服务小程序”报修。"
26,general,general,摄像头扫码扫不出或者扫的慢,请通过硬件管家――扫码――开启扫描（扫描付款码测试），摄像头主要是用来扫描二维码，识读一维码比较慢或者扫不出。如果检测扫描问题依旧，请联系人工客服。
27,general,general,设备提示未检测到相机,请您打开系统桌面――把相机打开，系统桌面――设置――重置，此时会清空所有数据，如果还不能排出故障，请联系人工客服。
28,general,general,虚拟按键失灵或无效,"霸屏模式下，虚拟按键“O”“口”无效，硬件管家――触摸屏――坏点测试/触摸测试--正常，请进入硬件管家――本机/系统信息――SN――更新最新系统版本，更新后，进入系统桌面――设置――重置可解决此问题。
霸屏模式下，虚拟按键“O”“口”无效，硬件管家――触摸屏――坏点测试/触摸测试――故障，请您通过微信搜索“商米服务小程序”报修。"
29,general,general,物理按键失灵或无效,"开机键故障，请您通过微信搜索“商米服务小程序”报修。
音量键无效，请在设置――音量键自定义，如果是开启状态，无法通过音量键调整音量，关闭即可。若关闭也无法调整音量，系统桌面――设置――重置尝试。如还是无法解决故障，请您通过微信搜索“商米服务小程序”报修。"
30,general,general,提示电池过热,请您关机冷却15-30分钟后重新开机，若还是有这个提示，请您通过微信搜索“商米服务小程序”报修。
31,general,general,电量显示异常,如您充电时可以能开机，断电不能开机，请您通过微信搜索“商米服务小程序”报修。
32,general,general,NFC设备无法读取,"如您使用的是金融设备，请通过硬件管家――检卡――测试公交卡，如能检测，可能是卡的问题。如果不能检测，不能读出，请您通过微信搜索“商米服务小程序”报修。
如您使用的是非金融设备，请您在系统桌面――应用市场――下载NFC Scanner测试公交卡，如能读出，可能是卡的问题。如果不能检测，不能读出，请您通过微信搜索“商米服务小程序”报修。"
33,general,general,wifi无法连接,"请您在系统桌面――设置――更多――网络重置――使用手机开启热点，连接手机热点可以正常上网，但是重新连接wifi，建议排查门店网络。
如连接热点仍然无法连接，请您通过微信搜索“商米服务小程序”报修。"
34,general,general,设备称重不准称重数据波动,"1.检查桌面是否平稳
2.检查秤盘底部是否有异物，以及秤盘背面焊接的两个金属条是否有松动
3.硬件管家――电子秤――秤盘无异物，清零，然后测试称重
以上测量还是有波动，请录制视频并提交人工客服确认。"
35,general,general,小闪扫码无数据输入,"1.小闪连接windows收银机或者电脑（提示未识别设备或者安装驱动失败等，跳步骤4），在系统桌面新建TXT文本文档
2.打开文本文档，用小闪扫描手机付款码
3.有数据输入，收银软件的问题，需要客户联系收银系统的开发者
4.无数据输入，关注商米公众号，扫码识别设备
5.扫识别码无效，换个电脑重复上面测试，如果还不行，请您通过微信搜索“商米服务小程序”报修。"
36,general,general,钱箱无法弹出,"1.建议将钱箱接到别的设备上测试钱箱是否正常，或者换一个正常的钱箱测试下
2.如无法通过1，请在硬件管家――钱箱，里面测试下钱箱能否正常打开
3.如果还是有问题，建议联系人工客服处理。"
37,general,general,桌面无APP图标,请在设置――应用――找到对应的APP――高级――允许修改系统权限即可
38,general,general,设备没有声音,"1.请问是单个单个软件没有声音，还是所有的软件都没有声音
“xx”软件没有声音;请卸载软件重新安装尝试。
所有软件都没有声音：请您关机重新开车尝试，如还不能解决，请使用硬件管家检测“喇叭”是否正常，如果正常请您联系人工客服处理。如检测“喇叭”有故障，请您通过微信搜索“商米服务小程序”报修。"
39,general,general,维修配件的价格,我们没有维修配件的价格，如您由于损坏需要维修，参考价格再进行维修，建议您可以联系人工客服。
40,general,general,设备可以root吗,很抱歉，我们的所有设备均不支持root。
41,general,general,我店家旁边就是你们的维修站我可以直接送过去吗,报修统一在“商米服务小程序”报修。我们会根据您的设备型号、故障类型、设备所在地址，系统会综合您的情况只能分配维修中心做维修。在您小程序报修后，我们会通过短信的方式告知您寄送地址。
42,general,general,商米线下体验店地址,"广州天河宏太智慧谷7号楼自编102-商米之家
成都市人民南路四段1号时代数码大厦17-B06-商米之家
如需来上海总部体验，请联系人工客服预约"
43,introduction,T1 mini,商米T1mini外观介绍,"电源键
关机状态下，短按开机启动。
使用状态下，长按2-3秒，可选择关机或重启。
死机状态下，长按11秒，断电关机。
USB接口：用于外接键盘、鼠标、U盘。
打印出纸口：用于开机状态下打印单据。
打印机开盖把手：用于打开打印机纸仓盖，进行换纸动作。
主显示屏：用于操作员使用的触摸屏。
副显示屏：用于顾客端播放广告的屏幕。
藏线盒：打开以后可以接各种外设。
刷卡槽接口：用于外接MSR/RDIF刷卡器。
TF卡槽：用于外扩TF储存卡。
MicroUSB调试口、调试功能键：用于调试设备时使用"
44,introduction,T1 mini,商米T1mini安装说明,"开始使用收银机前，首先得找到收银机底座背面，打开藏线盖可见外设接口，用于连接所需的外部设备。
接口用途：
电源接口：用于连接收银机的电源适配器，另一端插头插入市电插座。。
钱箱接口：用于连接钱箱，本设备只支持24V/1A钱箱。
网线接口：用于连接有线网，可在无WiFi网络的环境使用。
USB接口：用于连接小闪、扫码枪、小票打印机/标签打印机。
串口：用于连接电子秤，需要购买RJ11-RS232转接线使用。
音频输出口：用于连接音箱。
电源连接：将适配器电源接口连接至主机底部电源口。将适配器另一头插头插入市电插座。
安装打印纸：向外拉打印机把手，纸仓盖自动弹出。放入80mm热敏纸并拉出一段于打印纸口外，关闭纸仓时请双手轻轻按压仓门的顶端完全闭合盖子。"
45,introduction,T1 mini,商米T1mini开机设置说明,"初次开启商米设备，完成初次设置只需简单几步：
・连接电源适配器，短按电源键开机启动，进入首次开机界面，点击【开始设置】按提示操作即可。本机可选择2种上网模式。
连接WLAN
・点击要连接的WLAN，若选择一个加密的网络，则需要输入访问密码方可连接。
通过LAN连网
・插入网线连接网络，T1 网线接口位于底座背面塑料壳内，从底下缺口轻轻打开。"
46,function,T1 mini,商米T1mini如何下载／使用应用,相关应用可在联网模式下，打开应用市场，浏览并下载应用即可完成安装。
47,function,T1 mini,商米T1mini如何截屏,"将主屏幕背面下方的塑料盖掀开，找到三颗调试按键。同时按下电源键和音量减按键 2秒，截取的图片可以在“图库”->“屏幕截图”中查看。
截图照片的存储路径：\内部存储\Pictures\Screenshot"
48,function,T1 mini,商米T1mini连接网线后如何设置固定IP联网,T1连接网线后，点击 设置->有线网->静态->输入静态IP设置。注意：静态的IP地址、网络前缀长度、DNS和网关的数据需要咨询网络管理员获取。
49,function,T1 mini,商米T1mini系统更新会自动下载吗会不会影响到日常工作,为了不影响商户日常工作，系统更新不会自动下载更新和安装。您可以在设备首页的“系统更新”中升级更新设备系统。
50,function,T1 mini,商米T1mini如何将机器升级到最新的系统版本,"1、在机器联网状态，点击 桌面的【系统更新】。
2、当检测到系统更新时将自动下载，点击安装，设备将会重启并执行系统升级。
3、系统升级完成后，再次打开【系统更新】查看当前系统是否已是最新版本。
4、若是双屏机器，在主屏安装系统更新重启后，点击【系统更新】升级副屏的系统版本。
检查到【主屏】系统更新
检查到【副屏】系统更新"
51,function,T1 mini,商米T1mini如何查看当前的系统版本,"主屏系统版本：点击 设置->关于->版本号；
副屏系统版本：在桌面点击 【副屏设置】->版本号；"
52,function,T1 mini,商米T1mini如何恢复出厂设置主屏,"点击 设置- >备份和重置->恢复出厂设置。
注意：恢复出厂设置将会清除机器所有数据，请谨慎操作。"
53,function,T1 mini,商米T1mini如何恢复出厂设置14寸副屏,"1、 从应用市场搜索""DSC""下载Sunmi_DSC_DemoFor14；
2、 打开刚下载的DSC，点击“其他功能”->“检查连接”->“打开指定应用”发送设置到副屏显示，然后在14寸副屏上选择 ""备份和重置"">“恢复出厂设置”。"
54,function,T1 mini,商米T1mini可以提供系统刷机包吗,为了系统安全考虑，商米不提供系统刷机包。但是我们会持续给现有机具通过OTA方式推送系统更新。
55,function,T1 mini,商米T1mini设备既然是安卓操作系统那么是否可以获取ROOT权限,为了设备的安全性和系统稳定性考虑，商米限制不能获取到设备的root权限。
56,function,T1 mini,商米T1mini如何设置锁屏密码,点击设置->安全->屏幕锁定方式，可选择【图案】、【PIN码】和【密码】锁定。
57,function,T1 mini,商米T1mini设备设置了PIN码锁屏但是忘记锁屏密码怎么处理,请与设备购买商联系，申请通过远程方式清除锁屏密码；如果设备系统版本未支持或者无法联系到设备购买商，请联系售后刷机处理。
58,function,T1 mini,商米T1mini系统安全模式是什么,安全模式是安卓系统的一个特殊模式，它的原理与Windows 的安全模式相似。如果安卓系统出现类似软件，例如应用程序引发的死机、重启或电池很快耗尽，此时可进入安全模式来检查问题是否为应用程序所造成。在安全模式中，系统不会加载非预装应用程序，仅会就自身的系统来进行正常启动。这样用户便能进行系统检测、修复错误，或卸载有问题的应用程序。
59,function,T1 mini,商米T1mini如何进入安全模式,"在开机显示开机动画时，按住""音量减""键直到进入系统桌面，此时桌面左下方显示「安全模式」即表示成功。"
60,function,T1 mini,商米T1mini如何退出安全模式,重新启动即可退出。
61,function,T1 mini,商米T1mini产品的存储空间为什么跟规格标示的不一样,"安卓设备通常标称的存储容量指的是整个闪存芯片的空间大小（包括所有分区），而在安卓设备上，不但有看得见的分区，还有一些看不到的隐藏系统分区。例如，为了便于用户拿到设备可以直接使用，安卓设备会预装安卓操作系统和部分APP，这些隐藏的系统分区在设备中是不可见的，且通过第三方工具检测也是无法检测到的。而在在系统设置中可以感知的存储容量，仅仅指的是用户能够使用的部分（用户Data分区）。
商米T1内置16GB的闪存芯片，在系统设置中可以感知的存储容量，用户可以使用的总容量约为9.72GB。"
62,function,T1 mini,商米T1mini如何扩展收银机的存储空间,如果收银机有存放大量的图片文件、音乐文件和文档的需求，您可以通过加装microSD卡来扩展存储空间，收银机支持扩展最大64GB的microSD卡，请用前请通过电脑将microSD卡格式化为FAT32的文件系统。
63,function,T1 mini,商米T1mini可用存储空间少如何清理缓存和删除不需要的文件,"收银机使用一段时间后，随着不断安装新应用、下载文件以及产生的缓存文件累积，导致可用的存储空间不断减少。在可用存储低于100MB时，可能会出现“储存空间不足”的弹窗提示，甚至应用程序无法正常启动，系统运行卡顿等状况。这时候可参考以下方式来清理：
1.在桌面点击【设置】->【存储设备和USB】查看哪些项目占用了较多的存储空间，可直接点击进行清理。例如，缓存数据较多可点击“缓存数据”清除。
2.如果是“其他”项目占用较多存储空间（一般是应用下载的文件、联网下载的文件），点击该项目后只能浏览不能直观查看哪些文件占用较多空间需要删除，您可以通过下载一些第三方APP，例如“ES文件管理器”来清理。（ES文件管理器选择“清理”，根据搜索分析结果选择清理。）
3.如果未能确认是哪些文件可以被清理，可以备份重要数据，将收银机恢复出厂设置可以将设备恢复初始状态。"
64,function,T1 mini,商米T1mini如何调整显示字体的大小,在桌面点击【设置】->【无障碍】切换字体，仅支持系统界面的字体显示。
65,function,T1 mini,商米T1mini为什么文字变成加粗黑体显示,请检查是否开启了“高对比度文字”显示，在桌面点击【设置】>【无障碍】中可以选择启用或关闭。
66,function,T1 mini,商米T1mini如何使用副屏播放视频或者演示图片广告,请与搭配机器使用的收银软件商确认是否已适配客显屏播放视频或图片显示，副屏显示设置都需要在收银软件中进行设置。
67,function,T1 mini,商米T1mini调节音量大小,"方法一：在收银机桌面点击“设置”->“声音”，此处可调整音量大小；媒体音量影响软件的语音播报，通知音量将影响新消息推送提醒。
方法二：将主屏幕背面下方的塑料盖掀开，找到三颗圆形按键，上方两个按键是音量调节键。"
68,function,T1 mini,商米T1mini在应用市场中找不到要下载的APP如何安装第三方APP,"首先，查看是哪个渠道商出货的收银机，步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。
如果标记名称是“SUNMI”代表是属于商米直接销售或代理商出货的机具，使用者可以从商米应用市场下载商米应用池内所有可见的应用。至于应用市场没有的应用，也支持通过浏览器在网页搜索下载安装APK；
如果“服务商”显示渠道商名称，则代表您的机具属于渠道定制机；渠道商为了保证其生态权利（提供独有的解决方案、专利或福利），我们将应用市场的控制权交给他们，他们可以调整该渠道出货机具的应用市场有哪些应用程序。销售人员一般都会讲清其销售设备的业务能力范围，而使用者购买前也建议向销售防确认是否能够满足自己的业务管理需求哦。
如果渠道应用市场缺少您需要使用的应用，您可以向设备购买的渠道商反馈，争取应用程序的上架。"
69,function,T1 mini,商米T1mini安装从网页下载或者蓝牙接收到本地的应用APK显示应用未安装或禁止未经授权的APP安装如何处理,"如果您使用的是渠道机，而渠道商通过商米合作伙伴平台设置不允许安装第三方应用，则用户只能从应用市场下载安装应用，无法通过其他方式安装渠道应用市场未收录的应用。
如何查看机具是哪个渠道商出货的机具？步骤：点击 应用市场，选择“我的”，在页面下方的“服务商”所属名称。"
70,function,T1 mini,商米T1mini如何停用不必要的应用,"支持停用部分应用，设置->应用->选择应用->停用；
对于自行安装的APP，您可以尝试使用以下步骤卸载：在设备桌面长按APP图标拖拽到屏幕上方，出现删除图标放开卸载APP。"
71,function,T1 mini,商米T1mini为什么有部分应用无法卸载,如果您使用的是渠道定制机，而渠道合作伙伴在其专属应用市场将某些App设置为“默认启动”或“自动安装”，则用户无法在旗下机具上删除这部分应用。
72,accessories,T1 mini,商米T1mini支持哪些外接哪些硬件,"T1扩展接口位于机身背面藏线盖内，从底下凹槽轻轻打开。接口分别有： 1x电源口,1xRJ12钱箱口,1xRJ45 LAN口,4xUSB TypeA口, 1xRJ11串口,1x耳机口。
钱箱口(RJ12)只支持外接24V/1A钱箱，如果使用12V钱箱可能存在烧毁钱箱电路隐患；
LAN口(RJ45)是网线接口支持100M网络；
USB 2.0接口支持 HID 协议设备,例如扫码枪、读卡器、U盘、鼠标、键盘、USB摄像头 (符合UVC规格）等可即插即用，免驱动的USB设备。
串口（RJ11）RJ11串口可连接电子秤、串口打印机等设备；也支持标准RS232串口设备（需要购买转换线）；
音频孔是3.5mm 4段式CTIA标准接口，支持外接音箱、耳机。"
73,accessories,T1 mini,商米T1mini是否支持外接RS232接口的设备如打印机电子秤,支持标准RS232串口设备，可连接电子秤、串口打印机等设备; 可以直接购买商米RJ11转RS232数据线，或者自行购买转接线时提供RJ11接口的线序给厂家定制。
74,accessories,T1 mini,商米T1mini如何外接钱箱,"T1只支持外接24V/1A钱箱，如果使用12V钱箱可能存在烧毁钱箱电路隐患；可连接RJ12钱箱专用口外接钱箱使用。
物理通讯测试可用：爱宝钱箱 12/24V钱箱可用 ，其他24V/1A RJ11接口的钱箱也可。"
75,accessories,T1 mini,商米T1mini如何外接扫码枪,"可以使用USB接口外接有线或无线扫码枪。USB有线免驱动的扫码枪没有品牌及型号限制，即插即用；
物理通讯测试可用：新大陆 NLS-OY10(一维码）、NLS-HR22（二维码）、NLS-HR11(一维码）、NLS-HR22（二维码）；民德 MD6100(激光二维码） MD2250(激光一维码）"
76,accessories,T1 mini,商米T1mini如何外接电子秤,"系统版本支持：在收银机桌面找到“系统更新”，联网将系统升级到最新版本； 
硬件连接要求：T1有专门的RJ11接口通讯口可连接电子秤；支持外接有线连接和蓝牙连接的电子秤。部分有线连接的电子秤是国标的RS232串口，可购买商米RJ11转RS232数据线连接实现物理通讯接通。
电子秤购买：因为不同收银软件商可能会适配特定型号的电子秤，具体请咨询收银软件商应该购买哪个型号的电子秤。 (常见可用的有线电子秤：大华ACS-15AB)"
77,accessories,T1 mini,商米T1miniT1如何加装商米刷卡器MSRRFID读卡器是否支持刷金融银行卡,"安装操作：请先将主屏背面的卡槽盖打开，插上卡槽的连接线，注意红线朝下，上面有两个突出点，刚好对应机器接口上的两个空点，并锁紧配套的螺丝即可。
读卡器只支持普通的磁卡和RFID卡（IC卡），不支持金融银行卡。MSR读卡器支持1-2-3轨磁条卡，符合ISO7810/7811/7813规范。RFID读卡器支持ISO/ICE 14443 TypeA&B卡和M1卡。"
78,accessories,T1 mini,商米T1miniT1如何外接会员卡读写器,"商米目前已经支持四款第三方usb通用读写器，软件开发者可参考商米提供的demo做读卡写卡操作。购买读卡器务必说明需要适配商米的型号。点击查看开发文档
*上海亿矽智能科技有限公司UM002读卡器
*深圳市德卡科技有限公司T10读写器（需支持android版本，电源充电版）
*香港龙杰智能卡有限公司ACR1281U-C1读写器
*香港龙杰智能卡有限公司ACR1281U-K1读写器"
79,accessories,T1 mini,商米T1miniT1是否支持通过HDMI连接电视显示屏,T1不支持HDMI扩展接口。
80,accessories,T1 mini,商米T1mini是否支持外接摄像头使用,"T1的USB 2.0接口支持外接USB摄像头 (符合UVC规格），首先从网上下载安卓的摄像头软件，例如: webcame, Netcamera等，再外接USB摄像头。
注意：需要特定的商米系统版本才能支持！"
81,accessories,T1 mini,商米T1miniT1能否连接USB密码键盘,T1可以连接免驱的USB有线密码键盘。
82,accessories,T1 mini,商米T1miniT1能否连接U盘传输文件,T1支持连接U盘，支持的U盘格式: FAT32:可读可写，如果是其他格式会有限制：NTFS:可读不可写 ;exFAT:不支持；
83,accessories,T1 mini,商米T1miniT1是否支持外接USB接口的3G4G无线上网卡,"可以选择购买免驱动只需USB供电的随身WiFi，例如华为随行WiFi2，这类有电就有4G WiFi热点的设备；
注意外接USB网卡需要安装驱动的型号就不能直接用，因为驱动一般只提供Windows和Mac系统，不支持安卓系统。"
84,accessories,T1 mini,商米T1miniT1是否支持4G全网通SIM卡模块,T1标配机型不支持，需要批量下单定制支持3G模块的机型。建议考虑外接4G无线网卡。
85,accessories,T1 mini,商米T1miniT1是否有内置MIC,T1没有内置MIC麦克风，需要连接蓝牙麦克风或外接麦克风插入音频口使用。
86,function,T1 mini,商米T1miniT1使用USB线连接电脑传输文件如何操作,机器通过USB数据线与电脑连接后，在T1主屏幕顶部往下滑，在菜单中选择“USB选项”，点击“文件传输”即可。
87,function,T1 mini,商米T1mini收银机使用USB数据线连接电脑传输文件无法选择USB连接类型如何处理,"如果机器通过USB数据线与电脑连接后，通知栏没有出现“USB选项”，可点击“设置”->“开发者选项”，点击“选择USB配置”选择“MTP(媒体传输协议)”。
(找不到“开发者选项”？点击“设置”->“关于”，连续点击“版本号”7次即可显示)"
88,function,T1 mini,商米T1miniT1使用哪种规格的热敏纸,T1使用80mm*80mm的热敏纸，纸卷直径最大支持80mm。
89,function,T1 mini,商米T1miniT1可否使用58规格的热敏纸,"商米T1内置打印机仓可容纳80mm*80mm规格的打印纸，如果您需要使用58mm规格的打印纸，您可以购买专用58打印挡板，用以固定58mm打印纸卷；
在“挡板安装位置”示意图的右侧放入58规格打印纸；安装时注意先将挡板对准下边的卡扣，然后上边对齐卡扣，再往里推入卡紧。
然后在更改机器的打印设置，步骤：设置->打印->内置打印管理->打印纸规格，切换成 58mm模式，重新启动该设备后生效；以后就能使用58mm打印纸打印。"
